Affiliation,total_registrations,no_of_accounts_created,no_of_accounts_needed
LOVELY PROFESSIONAL,1,0,1
VEMANA INSTITUTE OF TECHNOLOGY,1,0,1
GODAVARI INSTITUTE OF ENGINEERING AND TECHNOLOGY,8,1,7
SRI SAI COLLEGE OF MANAGEMENT,1,1,0
LKDFJAKLD,1,0,1
LOVELY PROFESSIONAL UNIVERSITY,27,10,17
BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH,13,3,10
ARJN - ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,2,0,2
MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,19,9,10
SRI VENKATESHWARA UNIVERSITY,1,0,1
ANJIRACHAPI143@GMAOL.COM,1,0,1
TKEM - TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),77,11,66
SWARNANDHRA COLLEGE OF ENGINEERING TECHNOLOGY,1,1,0
INDU - SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,24,9,15
SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),39,24,15
GITAM,131,50,81
COLLEGE,407,97,310
JAIN UNIVERSITY,6,5,1
HCL TECH,3,0,3
ROHITH VELTURI,1,1,0
DR BR AMBEDKAR UNIVERSITY,3,0,3
MNRT - MNRCOLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT,3,1,2
CVRH - CVR COLLEGE OF ENGINEERING,56,15,41
VJIT - VIDYAJYOTHI INSTITUTE OF TECHNOLOGY,345,159,186
PARUL UNIVERSITY,25,8,17
VJEC - V N R VIGNAN JYOTHI INSTITUTE OF ENGG AND TECH,643,220,423
JNTH - JNTU COLLEGE OF ENGG HYDERABAD,589,229,360
UNIVERSITY OF ILLINOIS SPRINGFIELD,1,0,1
SUNY NEW PALTZ & WASHINGTON UNIVERSITY OF SCIENCE AND TECHNOLOGY,1,0,1
OSMANIA COLLEGE,2,0,2
CBIT - CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,291,133,158
SRI VENKATESWARA COLLEGE OF ENGINEERING TIRUPATI,1,0,1
SRM AP,2,0,2
PRAKASAM ENGINEERING COLLEGE,1,0,1
UNIVERSITY OF EAST LONDON,3,0,3
MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,161,73,88
VELLORE INSTITUTE OF TECHNOLOGY,20,8,12
VASIREDDY VENKATADHRI INSTITUTE OF TECHNOLOGY,1,1,0
WILMINGTON UNIVERSITY,1,0,1
NONE,4,2,2
CHAITANYA DEEMED TO BE UNIVERSITY,42,21,21
TEXAS A&M CORPUS CHRISTI,1,0,1
CMRM - CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),41,15,26
HARRISBURG UNIVERSITY,1,0,1
UNIVERSITY OF NORTH TEXAS,9,0,9
ARIZONA STATE UNIVERSITY,5,0,5
UNIVERSITY OF CENTRAL MISSOURI,4,0,4
SRI KRISHNA DEVARAYA UNIVERSITY,1,0,1
THE OXFORD COLLEGE OF ENGINEERING,3,1,2
VIGNAN BHARTHRI ENGINEERING COLLEGE,1,0,1
SVR ENGINEERING COLLEGE,4,1,3
RAMACHANDRAN COLLEGE OF ENGINEERING,1,1,0
CHIRAYU,1,1,0
OUCE - O U COLLEGE OF ENGG HYDERABAD,107,35,72
MOHAN BABU UNIVERSITY,14,5,9
IIT GUWAHATI,3,0,3
ME,1,1,0
BIET - BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,54,23,31
NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,108,44,64
SVCET,1,0,1
"AMRITA SCHOOL OF ENGINEERING, BENGALURU",2,1,1
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE,29,16,13
ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCIENCES,25,8,17
ELLANKI COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
ADITYA ENGINEERING COLLEGE,14,1,13
SRM UNIVERSITY RAMAPURAM,1,0,1
KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),65,35,30
GCTC - GEETHANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),265,105,160
BANK OF BARODA,1,0,1
ANUG - ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),1082,480,602
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,83,29,54
PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,5,2,3
UNIVERSITY COLLEGE OF SCIENCE SAIFABAD,1,0,1
GURU - GURUNANAK INSTTECH CAMPUS,25,5,20
CMRG - CMR TECHNICAL CAMPUS (AUTONOMOUS),163,55,108
UNIVERSITY OF ILLINOIS CHICAGO,1,0,1
MRCE - MALLA REDDY COLLEGE OF ENGINEERING,125,52,73
USHA RAMA COLLEGE OF ENGINEERING AND TECHNOLOGY,6,2,4
AVINASH COLLEGE OF COMMERCE,4,0,4
MUTHAYAMMAL ENGINEERING COLLEGE,2,1,1
SWARANDHARA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),116,45,71
PURDUE UNIVERSITY,1,0,1
HITM - HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),58,26,32
AMRITA VISHWA VIDHYAPEETHAM,52,28,24
WELLSFARGO,1,1,0
VAGE - VAAGDEVI COLLEGE OF ENGINEERING,36,18,18
KL UNIVERSITY,33,12,21
INTELIVERSE TECH SOLUTIONS LLP,1,0,1
SATHYABAMA UNIVERSITY,8,1,7
KMEC - KESHAV MEMORIAL ENGINEERING COLLEGE,25,14,11
RAGHU ENGINEERING COLLEGE,12,4,8
BASI REDDY MEMORIAL DEGREE COLLEGE,1,0,1
CMRK - C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),628,272,356
PRAKASAM ENGINEERING COLLEGE(JNTUK),1,1,0
VASV - VASAVI COLLEGE OF ENGINEERING,136,50,86
BVRI - B V RAJU INSTITUTE OF TECHNOLOGY,152,59,93
SNIS - SREENIDHI INSTITUTE OF SCI AND TECHNOLOGY,428,215,213
SRI KRISHNADEVARAYA UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
GRRR - GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH,290,149,141
BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,26,8,18
"NRI INSTITUTE OF TECHNOLOGY, VIJAYAWADA",1,0,1
HKBK COLLEGE OF ENGINEERING,1,0,1
LOYOLA ACADEMY,6,2,4
KMIT - KESHAV MEMORIAL INST OF TECHNOLOGY,88,56,32
MLID - M L R INSTITUTE OF TECHNOLOGY,472,105,367
KTKM - KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,7,1,6
IIT DELHI,2,1,1
MECS - MATRUSRI ENGINEERING COLLEGE,163,89,74
INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,15,9,6
ANDHRA UNIVERSITY COLLEGE OF ENGEENERING (A),20,8,12
SRI VENKATESWARA COLLEGE OF ENGINEERING,12,2,10
TGRS JC BOYS TOOPRAN,1,0,1
SDES - SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,9,5,4
PACE INSTITUE OF TECHNOLOGY AND SCIENCES,1,0,1
CHET - SRI CHAITANYA TECHNICAL CAMPUS,1,0,1
KPRT - KOMMURI PRATAP REDDY INST OF TECHNOLOGY,151,42,109
VVIT,3,2,1
R.M.K ENGINEERING COLLEGE,2,0,2
GNIT - GURUNANAK INST OF TECHNOLOGY,28,10,18
